id,name,price,description,categories
643576e81ebae7a8da163b6b,S21 Ultra,242999,"The Galaxy S21 Ultra has a cutting-edge flagship chipset. An Exynos 2100 and a Snapdragon 888 depending on the market. These processors are built on a 5nm process. The results, of the two chipsets both performance & graphics-wise, are outstanding. The phone performs real-world tasks smoothly providing a quality gaming experience. The device provides support for 5G network connectivity as well.  The Galaxy S21Ultra comes with the newer UFS 3.1 which has a faster transfer speed. The device comes in a variation of 12 GB of & 16 GB RAM. The user has three storage options to choose from. A 128 GB option, a 256 GB option & a 512 GB option. You don’t have the option of expandable storage anymore.  This new device supports Samsung One UI 3.1 based on Android 11. The Galaxy S21 Ultra model is built around a 6.8 inch dynamic AMOLED display with a small punch hole for the selfie camera The phone offers 1440 x 3200 pixels with a high QHD resolution. The S21 Ultra also offers a fast 120 Hz adaptive refresh rate.   One unique feature of the Galaxy S21 Ultra is that it supports an S-Pen stylus which before this could only be found in the Galaxy Note series.",Electronic Devices Mobile Phones Samsung
6454e5cd851766e7214c9c42,Samsung Galaxy A02,16700,"The device is going to have a new look and design. Today two handsets got leaked are A02 and M02, but there are no specs details of the phones. Recently the device with model number SM-A025F, which is believed to have Samsung Galaxy A02 appeared on Geekbench. The fact that they have a single page in the Norwegian regulator's database indicates that Samsung's Galaxy A02 and Galaxy M02 are the same devices for different regions. As for the specs of the phone are concerned, the new smartphone will be powered by Mediatek MT6739W (28 nm) SoC which is a powerful chipset. The new Samsung Galaxy A02's having a 1.5 GHz Octa-Core processor inside. The smartphone coupled with 3 gigabytes of RAM, this quality of RAM is enough to run the functions of the smartphone smoothly. The upcoming handset of the company Galaxy A02 by Samsung has got 32 gigabytes of internal storage, which is not enough but there is a dedicated slot in this device that can supports up to 256 gigabytes. The Samsung A02 has got a triple camera setup. The main lens of the setup will be 13 megapixels along with a 13 megapixels ultra-wide shooter and a 2 megapixels depth lens to capture excellent photography. Samsung Galaxy's A02 is packed with an 5 megapixels front-selfie camera setup. The 6.5 inches display size, and IPS LCD panel will provide the phone with an HD resolution of 720 x 1520 Pixels. The new Samsung Galaxy A02 has the protection of Corning Gorilla Glass which will make this smartphone safer to use. The device has a 3.5mm Audio Jack that the users will be enjoying listing to the music. The new Galaxy A02's is a budget-friendly phone with outstanding features.",Electronic Devices Mobile Phones Samsung
6454e8aa851766e7214c9c84,Samsung Galaxy A03s,22500,"The Samsung Galaxy A03s arrives as the successor to the Galaxy A02 phone which was also one of the best-selling Samsung phones in the world. The coming smartphone of the company which will be called Samsung's Galaxy A03s will be powered by one of the latest chipsets called a MediaTek Helio G35. This is a high-quality chipset that has been introduced in different brands. Samsung Galaxy A03s's going to have a 2.0 GHz Octa-Core processor to give more power to this chipset. If we talk about the display panel of the smartphone, it is equipped with 6.5 Inches display screen that will be full HD plus a resolution of 720 x 1600 Pixels, the users of this Galaxy A03s by Samsung will be happy to use this big screen. To protect this screen there is a Corning Gorilla Glass is installed. The coming device of this company, Samsung A03s is having 3 gigabytes of RAM to make the processing speed of the device lightning fast. The internal storage of the handset is 64 gigabytes which means that the Samsung Galaxy's A03s is providing the user with enough storage capacity to store data for the future. There is a also microSD card in this device. There is a dual rear camera setup in Samsung Galaxy A03s, The main sensor of the rear camera setup will be 13 megapixels wide, and a 2- Mega-pixel macro, and 2-Mega-pixel depth sensor. The handset is expected to come equipped with a 5 megapixels selfie shooter. For the security of user's data, the Galaxy A03s's got a side-mounted Fingerprint Sensor which is a normal feature nowadays on smartphones. The battery of this device is Li-Po Non-removable 5000 mAh with a 7.8W Battery charging.",Electronic Devices Mobile Phones Samsung
6454eb23851766e7214c9d30,Samsung Galaxy A12,26999,"Samsung Galaxy A12, launched on November 24, 2020, is a budget-friendly and economical mobile phone by Samsung. The phone is powered by Mediatek Helio P35 processor and PowerVR GE8320 GPU. Moreover, it comes with 2 / 3 / 4 / 6 GB RAM and 32 / 64 / 128 GB storage memory.  Samsung Galaxy A12 boasts a 6.5-inch PLS IPS display with HD+, Infinity-V Display.  As regard cameras, Samsung Galaxy A12 comes with:  One (8 MP) camera on the front side and four (48 x 5 x 2 x 2 MP) cameras on the rear side. The front camera supports video recording up to 1080p at 30 fps. Whereas, the rear camera supports",Electronic Devices Mobile Phones Samsung
6454ecad851766e7214c9d96,Samsung Galaxy M30,37600,"Samsung Galaxy M30, launched on February 27, 2019, is an affordable and reasonably priced mobile phone by Samsung. The phone is powered by Exynos 7904 processor and Mali G71 MP2 GPU. Moreover, it comes with 3 / 4 / 6 GB RAM and 32 / 64 / 128 GB storage memory.  Samsung Galaxy M30 boasts a 6.4-inch Super AMOLED display with FHD+.  As regard cameras, Samsung Galaxy M30 comes with:  One (16 MP) camera on the front side and three (13 x 5 x 5 MP) cameras on the rear side. The front camera supports video recording up to 1080p at 30 fps. Whereas, the rear camera supports",Electronic Devices Mobile Phones Samsung
6454ed97851766e7214c9ddb,Samsung Galaxy A32 4G,43500,"Samsung Galaxy A32 4G price in Pakistan is PKR 43,500. This smartphone comes with 6.4 inches display along with the storage of 128 GB 8 GB RAM. The Samsung Galaxy A32 4G packs a 5000 mAh battery and it has four cameras on back, with the main 64 MP along with 8 MP , 5 MP and 5 MP camera. Internationally its price in USD is $151.",Electronic Devices Mobile Phones Samsung
64456ce22acab61f92a5cb81,Iphone 14,352000,"Apple's latest iPhone 14 device family, announced during the ""Far Out"" event in September 2022, has been on the shelves for nearly half an year already, currently at the middle of its shelf lifecycle. The newest iPhone generation consists of four models: the iPhone 14, iPhone 14 Plus, iPhone 14 Pro, and iPhone 14 Pro Max.",Electronic Devices Mobile Phones Apple
6454ef6f851766e7214c9e44,Huawei Y6s,19800,"Huawei Y6s price in Pakistan is PKR 19,800. This smartphone comes with 6.09 inches display along with the storage of 64 GB 3 GB RAM. The Huawei Y6s packs a 3020 mAh battery and it has main 13 MP camera. Internationally its price in USD is $69.",Electronic Devices Mobile Phones Huawei
6454f045851766e7214c9e67,Huawei Nova Plus,28890,"Huawei Nova Plus Price in Pakistan is 28890. It features a 5.5 Screen and arrives with 3 GB RAM + 32 GB storage. In terms of camera, this mobile has 16 MP Camera. Huawei Nova Plus comes with 3340 battery.",Electronic Devices Mobile Phones Huawei
6454f0e3851766e7214c9e90,Huawei Y7a,35999,"Huawei Y7a price in Pakistan is PKR 35,999. This smartphone comes with 6.67 inches display along with the storage of 128 GB 4 GB RAM. The Huawei Y7a packs a 5000 mAh battery and it has four cameras on back, with the main 48 MP along with 8 MP , 2 MP and 2 MP camera. Internationally its price in USD is $125",Electronic Devices Mobile Phones Huawei
